Models,class_weight,Accuracy,Precision,Recall,F1_Macro,ROC-AUC
DecisionTreeClassifier,None,0.8647950134292809,0.18788907753254103,0.21214057507987222,0.5627217179006434,0.5665127253901464
DecisionTreeClassifier,balanced,0.8625145695028632,0.1811111111111111,0.20830670926517572,0.559304506965002,0.563522160228355
XGBClassifier,None,0.9201844625753813,0.4772727272727273,0.0670926517571885,0.5379244025308433,0.771509398260889
KNeighborsClassifier,None,0.9147620736836771,0.3003412969283277,0.05623003194888179,0.5250004923030142,0.6247320711344455
RandomForestClassifier,balanced,0.9209952870825521,0.5223880597014925,0.04472843450479233,0.5205609943800105,0.7560055914060181
RandomForestClassifier,None,0.9201337860436831,0.45985401459854014,0.040255591054313096,0.5161488425052068,0.7575999932472641
LogisticRegression,None,0.9204885217655704,0.16666666666666666,0.0006389776357827476,0.4799345976675643,0.715076678723114
LogisticRegression,balanced,0.9204885217655704,0.16666666666666666,0.0006389776357827476,0.4799345976675643,0.715076678723114
LogisticRegression,RandomOverSampler,0.6501292251558304,0.13940294475212753,0.6594249201277955,0.5018880751397161,0.71488725041255
XGBClassifier,RandomOverSampler,0.7761110829574824,0.19911411094705758,0.6031948881789138,0.5830822943435264,0.7576122677516063
KNeighborsClassifier,RandomOverSampler,0.7802158820250342,0.14946889226100152,0.37763578274760384,0.5432056289444254,0.6233995488328317
DecisionTreeClassifier,RandomOverSampler,0.8713322860183449,0.2026862026862027,0.21214057507987222,0.5686446904624658,0.5701338096825791
RandomForestClassifier,RandomOverSampler,0.9168904880150003,0.40648379052369077,0.10415335463258786,0.5610427941675145,0.7591717277015516
XGBClassifier,RandomUnderSampler,0.7132215071200527,0.17248,0.6888178913738019,0.5485429997461316,0.7669065470588317
RandomForestClassifier,RandomUnderSampler,0.723103430801196,0.1761089882040206,0.6773162939297125,0.5540769469803868,0.7677918412881969
LogisticRegression,RandomUnderSampler,0.6466832210003547,0.13774621465898432,0.6568690095846645,0.4993400735613608,0.7150376394686159
KNeighborsClassifier,RandomUnderSampler,0.611969796787108,0.12376482213438735,0.6402555910543131,0.4752643693513409,0.6614317136614881
DecisionTreeClassifier,RandomUnderSampler,0.6239801347995744,0.12511205019848892,0.6242811501597444,0.48093586892522555,0.6241176776778468
KNeighborsClassifier,RandomUnderSampler,0.6948766026453149,0.13026883504812478,0.5015974440894568,0.5089648763628756,0.6414746005686367
LogisticRegression,RandomUnderSampler,0.828307910606598,0.17596871667259154,0.31629392971246006,0.564786712862076,0.6801284215620484
DecisionTreeClassifier,RandomUnderSampler,0.8488825824760553,0.17455213596692695,0.24281150159744408,0.5598133256444787,0.5719506649334645
RandomForestClassifier,RandomUnderSampler,0.908478183753104,0.3563766388557807,0.19105431309904153,0.6000114616592012,0.7474902331522756
XGBClassifier,RandomUnderSampler,0.9129883950742411,0.3618181818181818,0.12715654952076677,0.5711051754700932,0.7577698667600796
